日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260131.0,6089.0,ウィルグループ,プライム（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,7.0,TOPIX Small 2
20260131.0,6090.0,ヒューマン・メタボローム・テクノロジーズ,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6091.0,ウエスコホールディングス,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6092.0,エンバイオ・ホールディングス,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6093.0,エスクロー・エージェント・ジャパン,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6094.0,フリークアウト・ホールディングス,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6096.0,レアジョブ,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6098.0,リクルートホールディングス,プライム（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,1.0,TOPIX Core30
20260131.0,6099.0,エラン,プライム（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,7.0,TOPIX Small 2
20260131.0,6101.0,ツガミ,プライム（内国株式）,3600.0,機械,8.0,機械,6.0,TOPIX Small 1
20260131.0,6103.0,オークマ,プライム（内国株式）,3600.0,機械,8.0,機械,6.0,TOPIX Small 1
20260131.0,6104.0,芝浦機械,プライム（内国株式）,3600.0,機械,8.0,機械,6.0,TOPIX Small 1
20260131.0,6113.0,アマダ,プライム（内国株式）,3600.0,機械,8.0,機械,4.0,TOPIX Mid400
20260131.0,6118.0,アイダエンジニアリング,プライム（内国株式）,3600.0,機械,8.0,機械,6.0,TOPIX Small 1
20260131.0,6125.0,岡本工作機械製作所,スタンダード（内国株式）,3600.0,機械,8.0,機械,-,-
